net,length_um
instance_0.mem\[3\]\[51\],12.08
_1584_,12.06
instance_1.mem\[2\]\[22\],12.055
_1051_,12.04
_1243_,12.04
instance_0.mem\[0\]\[46\],12.04
instance_0.mem\[1\]\[5\],12.04
instance_1.mem\[0\]\[50\],12.04
rdata[8],12.04
instance_0.mem\[2\]\[43\],12.025
_1141_,12.02
net524,12.02
instance_1.mem\[3\]\[51\],12
instance_1.rdata\[71\],12
instance_1.mem\[1\]\[9\],11.98
net771,11.98
_0066_,11.965
_1262_,11.96
instance_1.mem\[3\]\[58\],11.96
instance_0.mem\[0\]\[64\],11.94
_0203_,11.92
_1107_,11.92
instance_0.mem\[3\]\[13\],11.9
instance_0.mem\[3\]\[21\],11.895
_0590_,11.885
instance_1.rdata\[48\],11.88
rdata[53],11.87
instance_0.mem\[2\]\[27\],11.84
instance_1.mem\[1\]\[24\],11.84
instance_1.mem\[1\]\[64\],11.84
_1342_,11.82
instance_0.mem\[0\]\[38\],11.82
_1321_,11.8
instance_1.mem\[2\]\[38\],11.8
instance_0.mem\[1\]\[7\],11.78
instance_0.rdata\[45\],11.78
_1027_,11.76
_1059_,11.76
instance_0.mem\[1\]\[9\],11.76
instance_0.mem\[2\]\[1\],11.76
_0354_,11.745
_1281_,11.74
_0931_,11.72
_1254_,11.72
_1548_,11.72
_1301_,11.7
_1441_,11.7
_1568_,11.7
_1759_,11.7
instance_1.mem\[2\]\[20\],11.68
rdata[30],11.68
rdata[37],11.68
rdata[39],11.68
rdata[45],11.68
_0436_,11.665
_0607_,11.665
net942,11.66
rdata[29],11.65
_1711_,11.64
instance_0.mem\[3\]\[28\],11.64
instance_0.mem\[3\]\[31\],11.64
instance_1.rdata\[44\],11.64
net615,11.64
instance_0.mem\[2\]\[9\],11.635
instance_1.mem\[2\]\[63\],11.625
_1179_,11.62
_1559_,11.62
instance_0.mem\[1\]\[20\],11.62
instance_0.mem\[1\]\[71\],11.62
net652,11.62
